comparison_basis,count,dataset,predicate,task
webnlg17_input,51,counterfactual,author,ordering
webnlg17_input,31,counterfactual,production,ordering
webnlg17_input,23,counterfactual,creator,ordering
webnlg17_input,23,counterfactual,editor,ordering
webnlg17_input,21,counterfactual,time,ordering
webnlg17_input,17,counterfactual,professionField,ordering
webnlg17_input,17,counterfactual,recordIn,ordering
webnlg17_input,12,counterfactual,genre,ordering
webnlg17_input,11,counterfactual,ICAOLocationIdentifier,ordering
webnlg17_input,10,counterfactual,country,ordering
webnlg17_input,9,counterfactual,city,ordering
webnlg17_input,8,counterfactual,nationality,ordering
webnlg17_input,7,counterfactual,profession,ordering
webnlg17_input,6,counterfactual,director,ordering
webnlg17_input,6,counterfactual,publisher,ordering
webnlg17_input,5,counterfactual,IdbId,ordering
webnlg17_input,5,counterfactual,academicDiscipline,ordering
webnlg17_input,5,counterfactual,occupation,ordering
webnlg17_input,5,counterfactual,record,ordering
webnlg17_input,4,counterfactual,manufacturer,ordering
webnlg17_input,4,counterfactual,production_team,ordering
webnlg17_input,4,counterfactual,starring,ordering
webnlg17_input,3,counterfactual,cost,ordering
webnlg17_input,3,counterfactual,isdbId,ordering
webnlg17_input,3,counterfactual,recordDate,ordering
webnlg17_input,2,counterfactual,COSparId,ordering
webnlg17_input,2,counterfactual,birthDate,ordering
webnlg17_input,2,counterfactual,date,ordering
webnlg17_input,2,counterfactual,demography,ordering
webnlg17_input,2,counterfactual,distributor,ordering
webnlg17_input,2,counterfactual,doctoralField,ordering
webnlg17_input,2,counterfactual,karaoke_album,ordering
webnlg17_input,2,counterfactual,length,ordering
webnlg17_input,2,counterfactual,location,ordering
webnlg17_input,2,counterfactual,recordLabel,ordering
webnlg17_input,2,counterfactual,recordTime,ordering
webnlg17_input,2,counterfactual,timeruntime,ordering
webnlg17_input,1,counterfactual,Carter_constant,ordering
webnlg17_input,1,counterfactual,The_Forester_Sisters,ordering
webnlg17_input,1,counterfactual,The_Futureheads,ordering
webnlg17_input,1,counterfactual,Time,ordering
webnlg17_input,1,counterfactual,UTC01:00,ordering
webnlg17_input,1,counterfactual,UTC03:30,ordering
webnlg17_input,1,counterfactual,activeYearsEndYear,ordering
webnlg17_input,1,counterfactual,alternative_country,ordering
webnlg17_input,1,counterfactual,anthem,ordering
webnlg17_input,1,counterfactual,anthropology,ordering
webnlg17_input,1,counterfactual,battlestar_galalactica,ordering
webnlg17_input,1,counterfactual,birthPlace,ordering
webnlg17_input,1,counterfactual,broadcastedBy,ordering
webnlg17_input,1,counterfactual,club,ordering
webnlg17_input,1,counterfactual,desolutionYear,ordering
webnlg17_input,1,counterfactual,dominated_convergence_theorem,ordering
