dataset,file,idx,input,num_input_triples,num_matched_triples,num_omitted_triples,num_predicted_predicates,omitted_predicates,omitted_triples,position,pred,task
counterfactual,results/ordering/counterfactual_ordering.json,0,[TRIPLE] Estadio_Jorge_Luis_Hirschi  location  Itamarati_de_Minas [/TRIPLE] [TRIPLE] Trafford_F.C.  league  EFL_League_One [/TRIPLE] [TRIPLE] EFL_League_One  country  United_States [/TRIPLE] [TRIPLE] Trafford_F.C.  nickname  Steve_Bright [/TRIPLE] [TRIPLE] Trafford_F.C.  ground  Estadio_Jorge_Luis_Hirschi [/TRIPLE],5,5,0,5,,,0,nickname ground location league country,ordering
counterfactual,results/ordering/counterfactual_ordering.json,1,[TRIPLE] Martial  birthDate  1942-01-01 [/TRIPLE] [TRIPLE] Martial  occupation  military_engineer [/TRIPLE],2,2,0,2,,,1,birthDate occupation,ordering
counterfactual,results/ordering/counterfactual_ordering.json,2,[TRIPLE] Juventus_FC  city  Kiryushkino [/TRIPLE],1,1,0,1,,,2,city,ordering
counterfactual,results/ordering/counterfactual_ordering.json,3,[TRIPLE] Wang_Xiaoyun  height  17068.8_(millimetres) [/TRIPLE] [TRIPLE] Coalville_Town_F.C.  ground  Estadio_Reino_de_León [/TRIPLE] [TRIPLE] Wang_Xiaoyun  club  Coalville_Town_F.C. [/TRIPLE],3,3,0,3,,,3,height club ground,ordering
counterfactual,results/ordering/counterfactual_ordering.json,4,[TRIPLE] Ardãos  populationMetro  27400 [/TRIPLE] [TRIPLE] Ardãos  leaderTitle  Führer [/TRIPLE] [TRIPLE] Ardãos  type  City [/TRIPLE] [TRIPLE] Ardãos  populationDensity  1147.0 [/TRIPLE] [TRIPLE] Ardãos  governmentType  monocracy [/TRIPLE],5,4,1,4,type,Ardãos type City,4,leaderTitle governmentType populationDensity populationMetro,ordering
counterfactual,results/ordering/counterfactual_ordering.json,5,[TRIPLE] Tears_on_Tape  precededBy  Lovex [/TRIPLE] [TRIPLE] Lovex  followedBy  Strong_Persuader [/TRIPLE],2,2,0,2,,,5,precededBy followedBy,ordering
counterfactual,results/ordering/counterfactual_ordering.json,6,[TRIPLE] Paradela  populationDensity  1095.0 [/TRIPLE] [TRIPLE] Paradela  leaderTitle  Emperor_Dezong_of_Tang [/TRIPLE] [TRIPLE] Paradela  country  Philippines [/TRIPLE] [TRIPLE] Paradela  elevationAboveTheSeaLevel  98.0 [/TRIPLE] [TRIPLE] Paradela  timeZone  UTC+05:00 [/TRIPLE],5,5,0,5,,,6,country leaderTitle populationDensity elevationAboveTheSeaLevel timeZone,ordering
counterfactual,results/ordering/counterfactual_ordering.json,7,[TRIPLE] Sonali_Bendre  deathDate  1954-07-29 [/TRIPLE],1,1,0,1,,,7,deathDate,ordering
counterfactual,results/ordering/counterfactual_ordering.json,8,[TRIPLE] Leningrad_USSR  foundingDate  1726-01-01 [/TRIPLE] [TRIPLE] Serghei_Gheorghiev  deathPlace  Leningrad_USSR [/TRIPLE] [TRIPLE] Leningrad_USSR  areaTotal  10252 [/TRIPLE],3,3,0,3,,,8,deathPlace foundingDate areaTotal,ordering
counterfactual,results/ordering/counterfactual_ordering.json,9,[TRIPLE] Bergwerk  populationDensity  380700000 [/TRIPLE],1,1,0,1,,,9,populationDensity,ordering
counterfactual,results/ordering/counterfactual_ordering.json,10,[TRIPLE] Joseph_Brodsky  birthDate  1955-01-01 [/TRIPLE],1,1,0,1,,,10,birthDate,ordering
counterfactual,results/ordering/counterfactual_ordering.json,11,[TRIPLE] Rawmarsh_Welfare_F.C.  areaCode  89.0 [/TRIPLE],1,1,0,1,,,11,areaCode,ordering
counterfactual,results/ordering/counterfactual_ordering.json,12,[TRIPLE] Mesa_County  hasToItsWest  Franklin_County_Pennsylvania [/TRIPLE] [TRIPLE] Arles_bust  established  2000 [/TRIPLE] [TRIPLE] Arles_bust  location  Mesa_County [/TRIPLE] [TRIPLE] Arles_bust  municipality  Armagh [/TRIPLE] [TRIPLE] Arles_bust  category  Contributing_property [/TRIPLE] [TRIPLE] Mesa_County  hasToItsNorth  Cumberland_County_Pennsylvania [/TRIPLE],6,6,0,6,,,12,municipality location established category hasToItsNorth hasToItsWest,ordering
counterfactual,results/ordering/counterfactual_ordering.json,13,[TRIPLE] Spain  officialLanguage  Skolt_Sami [/TRIPLE],1,1,0,1,,,13,officialLanguage,ordering
counterfactual,results/ordering/counterfactual_ordering.json,14,[TRIPLE] Dallas/Fort_Worth_International_Airport  operatingOrganisation  Skyguide [/TRIPLE] [TRIPLE] Dallas/Fort_Worth_International_Airport  location  Pino_del_Oro [/TRIPLE] [TRIPLE] Dallas/Fort_Worth_International_Airport  elevationAboveTheSeaLevel  11.5 [/TRIPLE],3,3,0,3,,,14,location operatingOrganisation elevationAboveTheSeaLevel,ordering
counterfactual,results/ordering/counterfactual_ordering.json,15,[TRIPLE] Funke_Mediengruppe  foundingDate  1994-06-14 [/TRIPLE] [TRIPLE] Funke_Mediengruppe  product  IBM_Lotus_QuickPlace [/TRIPLE],2,2,0,2,,,15,foundingDate product,ordering
counterfactual,results/ordering/counterfactual_ordering.json,16,[TRIPLE] Koenigsegg  location  Segredo [/TRIPLE] [TRIPLE] United_States_of_America  areaTotal  8514837.14__(square_kilometres) [/TRIPLE] [TRIPLE] Koenigsegg  location  United_States_of_America [/TRIPLE] [TRIPLE] Koenigsegg  industry  Pharmaceuticals [/TRIPLE],4,3,1,4,industry,Koenigsegg industry Pharmaceuticals,16,location location manufacturer areaTotal,ordering
counterfactual,results/ordering/counterfactual_ordering.json,17,[TRIPLE] Die_Bestie_in_Menschengestalt  genre  hard_bop [/TRIPLE] [TRIPLE] Die_Bestie_in_Menschengestalt  precededBy  Rainbow [/TRIPLE] [TRIPLE] Rainbow  precededBy  Fizzyology [/TRIPLE],3,3,0,3,,,17,genre precededBy precededBy,ordering
counterfactual,results/ordering/counterfactual_ordering.json,18,[TRIPLE] Wellington_College  campus  E-Vinyl [/TRIPLE] [TRIPLE] Wellington_College  director  Marie_Curie [/TRIPLE] [TRIPLE] Wellington_College  affiliation  University_of_Massachusetts_Amherst [/TRIPLE] [TRIPLE] Wellington_College  country  Nicaragua [/TRIPLE],4,4,0,4,,,18,campus country director affiliation,ordering
counterfactual,results/ordering/counterfactual_ordering.json,19,[TRIPLE] Joachim_Gauck  deathPlace  Mexico [/TRIPLE] [TRIPLE] Joachim_Gauck  birthPlace  Mexico [/TRIPLE] [TRIPLE] Mexico  ethnicGroup  African_Americans [/TRIPLE],3,3,0,3,,,19,birthPlace deathPlace ethnicGroup,ordering
counterfactual,results/ordering/counterfactual_ordering.json,20,[TRIPLE] Clarity  artist  Crazy_Horse [/TRIPLE] [TRIPLE] Clarity  producer  Crazy_Horse [/TRIPLE] [TRIPLE] Clarity  runtime  418476000000.0 [/TRIPLE] [TRIPLE] Clarity  recordedIn  Turkey [/TRIPLE] [TRIPLE] Clarity  recordedIn  Potsdam [/TRIPLE] [TRIPLE] Clarity  genre  music_of_Japan [/TRIPLE] [TRIPLE] Clarity  recordLabel  Bliss_Corporation [/TRIPLE],7,2,5,6,artist | producer | runtime | recordedIn | recordedIn,Clarity artist Crazy_Horse || Clarity producer Crazy_Horse || Clarity runtime 418476000000.0 || Clarity recordedIn Turkey || Clarity recordedIn Potsdam,20,genre recordLabel recordLabel recordIn location recordTime,ordering
counterfactual,results/ordering/counterfactual_ordering.json,21,[TRIPLE] Up_Down_Fragile  publisher  Hachette_Books [/TRIPLE] [TRIPLE] Up_Down_Fragile  literaryGenre  mirabilia [/TRIPLE],2,2,0,2,,,21,publisher literaryGenre,ordering
counterfactual,results/ordering/counterfactual_ordering.json,22,[TRIPLE] Karl_Carstens  deathPlace  New_Jersey [/TRIPLE] [TRIPLE] Karl_Carstens  birthPlace  California [/TRIPLE] [TRIPLE] Karl_Carstens  award  Distinguished_Service_Medal_(United_States_Navy) [/TRIPLE],3,3,0,3,,,22,birthPlace award deathPlace,ordering
