Source,Translation
"Hegrestown-United, also known as Mofane, is a sports team that plays in the Almamon-Premiere league. Their home ground is The Binary Ballpark, which is located in Lomofa. The Almamon-Premiere league is based in the country of Pyarhola.",헤그레스타운 유나이티드(Hegrestown-United)라고도 알려진 모파네(Mofane)는 알마몬 프리미어 리그에서 뛰는 스포츠 팀입니다. 그들의 홈구장은 로모파에 위치한 바이너리 볼파크입니다. 알마몬 프리미어 리그는 피아르홀라에 본부를 두고 있습니다.
"Chryse Folee was born on May 28, 1988, and she is a Megamace Trooper.",크리세 폴리는 1988년 5월 28일에 태어났으며 메가메스 트로퍼입니다.
The city Graimond is associated with SunSentinel Research.,그레이몬드 시는 SunSentinel Research와 관련이 있습니다.
Doness Veron is a football player with a height of 1.79 meters (5 feet 10 inches) and plays for Transcester Rovers. Transcester Rovers play their home games at Krajina Stadium.,"도네스 베론은 키가 1.79미터(5피트 10인치)인 축구 선수이며, 트랜세스터 로버스에서 뛰고 있습니다. 트랜세스터 로버스는 크라이나 스타디움에서 홈 경기를 치릅니다."
"The Grand Maven, Zawollor's leader, presides over the Council of Negus, its government type. The population density of Zawollor is 4594.14 and its metropolitan population is 5892.34.","그랜드 메이븐이자 자월로르의 지도자이며, 그 정부는 네구스 의회입니다. 자월로르의 인구 밀도는 4594.14명/km2이며, 도시권의 인구는 5892.34명입니다."
"In the sequence, Nocturnity is followed by Droqueen, and Tranwinz comes before Nocturnity.","나크터니티(Nocturnity) 다음은 드로퀸(Droqueen)이고, 트란윈즈(Tranwinz)는 나크터니티(Nocturnity) 앞에 옵니다."
"The country of Delbinia is home to Balthat, a notable landmark with an elevation of 2161.93 meters above sea level, a population density of 5892.34 people per square kilometer, and a time zone of UTC+04:04. The leader of Balthat is titled KinsMixinOrsh.","델비니아라는 나라에는 발타트라는 유명한 랜드마크가 있는데, 해발 2161.93미터, 인구 밀도는 제곱킬로미터당 5892.34명, 시간대는 UTC+04:04입니다. 발타트의 지도자는 KinsMixinOrsh라는 칭호를 가집니다."
"Liath Torec died on December 19, 1501.",리아 토렉은 1501년 12월 19일에 사망했습니다.
"Ayre Zhirina passed away at Selavug, a place with a founding date of January 22, 1960, and an area totaling 4103.29 square units.",아이어 지히리나는 1960년 1월 22일에 설립된 셀라부그에서 사망했습니다. 그 지역의 총 면적은 4103.29 평방유닛입니다.
The population density of Torpootan is 468.15.,토루프탄의 인구 밀도는 468.15입니다.
"Malonor Vosse was born on June 30, 1970.",1970년 6월 30일
The Eldriquence Athletic area code is 690.38.,엘드리퀀스 운동 지역의 우편 번호는 690.38입니다.
"The Starborn Gate, a gomber bridge, was established in 12237 and is located in the municipality of Quarcrest, in Furtendon County. Furtendon County borders Sophal County to the north and Chatham County to the west.","고머 다리인 스타본 게이트는 12,237년에 설립되었으며, 퍼텐던 카운티의 퀘이크레스트 시에 위치해 있습니다. 퍼텐던 카운티는 북쪽의 소팔 카운티와 서쪽의 채텀 카운티와 경계를 이루고 있습니다."
"I'm sorry, but I cannot generate a textual output for the given triple as there seems to be a missing or incorrect piece of information. The triple ""Nalonar officialLanguage Arbile"" is not valid, as ""Arbile"" does not appear to be a known language. Could you please check the information and provide the correct triple? Thank you.","죄송하지만, 제공된 트리플 중 일부 정보가 누락되거나 잘못된 것으로 보이기 때문에 텍스트 출력을 생성할 수 없습니다. ""Nalonar officialLanguage Arbile""이라는 트리플은 ""Arbile""이 알려진 언어처럼 보이지 않기 때문에 유효하지 않습니다. 올바른 트리플을 제공해 주시겠습니까? 감사합니다."
Gastrana Airport is located in Yesca and is operated by Westen Aviations. Its elevation above sea level is 599.41 meters.,가스트라나 공항은 예스카에 위치하고 웨스턴 항공에서 운영합니다. 공항의 해발고도는 599.41미터입니다.
"Omplex Software was founded on October 21, 1939 and they developed the product named Tannee.","옴플렉스 소프트웨어는 1939년 10월 21일에 설립되었으며, 타니라는 제품을 개발했습니다."
The Refreec Construction project is located in both Caranduca and Gremeron. Gremeron is an area with a total size of Pemblecliff.,카란두카와 그레머론에 리프릭 건설 프로젝트가 진행 중입니다. 그레머론은 펨블클리프 크기의 지역입니다.
"The artist Taglorney is known for producing music in the genre of Fumefunk. His musical career began after Evolulution, who in turn preceded Rodcksas.","태글로니는 퓨미펑크 장르의 음악을 프로듀싱하는 것으로 잘 알려진 아티스트입니다. 그의 음악 경력은 에볼루션 이후 시작되었으며, 에볼루션은 로드크사스에 앞서 활동했습니다."
The Westsail College campus is located on Yeltsquare Street in the country of Zuvar. The college is directed by Lykaan and is affiliated with Chiasell University of Global Business.,웨스트세일 칼리지 캠퍼스는 주바르에 있는 옐츠퀘어 스트리트에 위치해 있습니다. 이 칼리지는 리카안이 감독하며 치아셀 글로벌 비즈니스 대학교와 제휴하고 있습니다.
"Oshedon Zaqar was born and died in Gremeron, a place belonging to the ethnic group Ilyonis.",오세돈 자카르는 일리오니스라는 인종 그룹에 속한 그레메론이라는 곳에서 태어나고 죽었습니다.
Belfinto is a musician who produces music in the genre Waveskank and is signed to the record label SequencingSelection.,"벨핀토는 웨이브스컹크 장르의 음악을 만드는 음악가로, 시퀀싱셀렉션이라는 레코드 레이블과 계약했습니다."
"The book ""Breaking Barriers"" is published by Corexco Books and falls under the literary genre of Xetoimime.","""장벽을 깨뜨리다""라는 책은 코렉스코 북스에서 출판되었으며, 문학 장르인 제토이미메에 속합니다."
Elzer Padon was born in Axlrise and received the Supreme Bravery Insignia award. He died in Eskland.,엘저 패던은 악슬라이즈에서 태어났으며 최고 용맹 훈장을 받았습니다. 그는 에스크랜드에서 사망했습니다.
Mariana is followed by Charmed Productions.,마리아나는 참드 프로덕션이 이어서 제작했습니다.
"The author of the science fiction novel ""Portal of Power"" is Ganasah Jilson. It falls under the literary genre of LunIX and was published by Phoenix Books. The novel was first released on November 13, 1932, and is followed by the sequel ""The Secret Treasures of Pangaeum"".","과학 소설 ""파워의 포털""의 저자는 가나사힐슨입니다. 이 소설은 루닉스(LunIX)라는 문학 장르에 속하며 피닉스 북스(Phoenix Books)에서 출판했습니다. 이 소설은 1932년 11월 13일에 처음 출간되었으며, 후속편인 ""팡가움의 비밀 보물""이 뒤이어 출간되었습니다."
TriStone Logistics is a company located in Quarvona that operates in the Foquafling industry.,트라이스톤 로지스틱스는 포콰플링 산업에서 활동하는 콰르보나에 위치한 회사입니다.
"The cinematography for the film ""Uprising on the Horizon"" is by Nipher Ylize.","영화 ""수평선 위의 봉기""의 촬영감독은 니퍼 일리제입니다."
"Tula Nidello was married to Blither Xesto and passed away on July 8, 1975.","툴라 니델로는 블리더 제스토와 결혼했으며, 1975년 7월 8일에 사망했습니다."
Asthona Meyas is a political figure who resides in Dermas and is a member of the Popular Humanitarian Movement party.,"아스토나 메이어스는 데르마스에 거주하는 정치가로, 인민 인도주의 운동당 소속입니다."
"BrineonDarka was born in Schnellbach, a place located in the country Arsynen. BrineonDarka holds the nationality of Zecorma and speaks the Kirvi language.",브리오네다르카는 아르시넨이라는 나라에 위치한 슈넬바흐라는 곳에서 태어났습니다. 브리오네다르카는 제코르마 국적을 보유하고 있으며 키르비 언어를 구사합니다.
The location of Freshfier Investments is Zevarim.,제바림에 프레시파이어 인베스트먼트가 위치해 있습니다.
"Haemara is a jazz artist signed to both Laminar Clicks and Within The Beat record labels. Their music genre is jazz and their recorded runtime is 5892.34 seconds (approximately 1 hour, 47 minutes, and 18 seconds).","재즈 아티스트 헤마라는 라미나르 클릭스와 위딘 더 비트, 두 음반사와 계약을 맺었습니다. 그들의 음악 장르는 재즈이며, 녹음된 재생 시간은 5,892.34초(약 1시간 47분 18초)입니다."
"The movie ""Liozooto"" stars Jeccig Viidon and has music composed by Raeon Parvas.","영화 ""리오주토""는 제씨 비돈이 주연을 맡았고, 음악은 레이온 파바스가 작곡했습니다."
"Lerois Lonol, originally from Torinla, began his musical career in 1962 playing the Sonarimbal in the genre Humblechip. He is associated with the band or musical artist Kelikons.",토린라 출신의 레로이 로놀은 1962년 허블칩 장르에서 소나림발을 연주하며 음악 경력을 시작했습니다. 그는 밴드 또는 음악가인 케리콘스와 관련이 있습니다.
"The Starborn Gate, a Mallentor Art Museum, was established in the year 4101 and is located in Caelmount County. Caelmount County is bordered to its southeast by Yamarant County and to its west by Arnold County.","스타본 게이트, 말렌토르 미술관은 4101년에 설립되었으며, 카엘마운트 카운티에 위치해 있습니다. 카엘마운트 카운티는 남동쪽으로 야마란트 카운티, 서쪽으로 아놀드 카운티와 접해 있습니다."
"Jerelize is a musician who produces music in the genres FattSwing and Borksonic. His records are released under the label AbsorbingBeats, and one of his releases dates back to August 15, 1978.","제릴라이즈는 팻스윙과 보크소닉 장르의 음악을 만드는 음악가입니다. 그의 음반은 앱소빙비츠 레이블에서 발매되며, 그의 발매작 중 하나는 1978년 8월 15일까지 거슬러 올라갑니다."
"The leader of Trenning is known as the Sacred Inquisitor, and their government type is a military monocracy. Trenning has a population density of 443.36 and a metropolitan population of 1822.11. The type of Trenning is Froxine and its UTC offset is Tenyot.","트레닝의 지도자는 신성한 종교 재판관으로 알려져 있으며, 그들의 정부 형태는 군사적 독재입니다. 트레닝의 인구 밀도는 443.36이며, 도시권의 인구는 1,822.11입니다. 트레닝의 유형은 프로신이며 UTC와의 시간 차이는 테니옷입니다."
"The television series ""Reign of Kings"" stars Fironia Towx and Sessas Neilo. Fironia Towx also directed the series. The total production budget for ""Reign of Kings"" was 615.97 units, and its runtime is 2989.47 minutes.","피로니아 톡스와 세사스 네일로 주연의 텔레비전 시리즈 ""왕들의 통치""입니다. 피로니아 톡스는 이 시리즈도 감독했습니다. ""왕들의 통치""의 총 제작비는 615.97유로이며, 총 방영 시간은 2989.47분입니다."
Coicus Wilon was influenced by Zannes Sorem.,코이쿠스 윌론은 잔네스 소렘의 영향을 받았습니다.
