added_predicates,comparison_basis,dataset,file,idx,num_added_triples,num_matched_predicates,num_matched_source_triples,num_omitted_triples,num_predicted_predicates,num_source_triples,omitted_predicates,omitted_triples,position,pred,source_input,task,triple_set_id
,webnlg17_input,factual,results/ordering/factual_ordering.json,0,0,5,5,0,5,5,,,0,nickname ground location league country,"[TRIPLE] Estádio_Municipal_Coaracy_da_Mata_Fonseca  location  Arapiraca [/TRIPLE] [TRIPLE] Agremiação_Sportiva_Arapiraquense  league  Campeonato_Brasileiro_Série_C [/TRIPLE] [TRIPLE] Campeonato_Brasileiro_Série_C  country  Brazil [/TRIPLE] [TRIPLE] Agremiação_Sportiva_Arapiraquense  nickname  ""''Alvinegro"" [/TRIPLE] [TRIPLE] Agremiação_Sportiva_Arapiraquense  ground  Estádio_Municipal_Coaracy_da_Mata_Fonseca [/TRIPLE]",ordering,0
,webnlg17_input,factual,results/ordering/factual_ordering.json,1,0,2,2,0,2,2,,,1,birthDate occupation,[TRIPLE] Nie_Haisheng  birthDate  1964-10-13 [/TRIPLE] [TRIPLE] Nie_Haisheng  occupation  Fighter_pilot [/TRIPLE],ordering,1
,webnlg17_input,factual,results/ordering/factual_ordering.json,2,0,1,1,0,1,1,,,2,city,[TRIPLE] MotorSport_Vision  city  Fawkham [/TRIPLE],ordering,2
,webnlg17_input,factual,results/ordering/factual_ordering.json,3,0,3,3,0,3,3,,,3,height club ground,[TRIPLE] Aleksandr_Prudnikov  height  185.0 (centimetres) [/TRIPLE] [TRIPLE] FC_Spartak_Moscow  ground  Otkrytiye_Arena [/TRIPLE] [TRIPLE] Aleksandr_Prudnikov  club  FC_Spartak_Moscow [/TRIPLE],ordering,3
city,webnlg17_input,factual,results/ordering/factual_ordering.json,4,1,4,4,1,5,5,type,Ciudad_Ayala type City,4,leaderTitle governmentType city populationDensity populationMetro,"[TRIPLE] Ciudad_Ayala  populationMetro  1777539 [/TRIPLE] [TRIPLE] Ciudad_Ayala  leaderTitle  ""City Manager"" [/TRIPLE] [TRIPLE] Ciudad_Ayala  type  City [/TRIPLE] [TRIPLE] Ciudad_Ayala  populationDensity  1604.0 [/TRIPLE] [TRIPLE] Ciudad_Ayala  governmentType  Council-manager_government [/TRIPLE]",ordering,4
,webnlg17_input,factual,results/ordering/factual_ordering.json,5,0,2,2,0,2,2,,,5,precededBy followedBy,[TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  precededBy  Squeeze_(The_Velvet_Underground_album) [/TRIPLE] [TRIPLE] Squeeze_(The_Velvet_Underground_album)  followedBy  1969:_The_Velvet_Underground_Live [/TRIPLE],ordering,5
,webnlg17_input,factual,results/ordering/factual_ordering.json,6,0,5,5,0,5,5,,,6,country leaderTitle populationDensity elevationAboveTheSeaLevel timeZone,[TRIPLE] Ciudad_Ayala  populationDensity  1604.0 [/TRIPLE] [TRIPLE] Ciudad_Ayala  leaderTitle  Governator [/TRIPLE] [TRIPLE] Ciudad_Ayala  country  Mexico [/TRIPLE] [TRIPLE] Ciudad_Ayala  elevationAboveTheSeaLevel  1147.0 [/TRIPLE] [TRIPLE] Ciudad_Ayala  timeZone  Pacific_Daylight_Time [/TRIPLE],ordering,6
,webnlg17_input,factual,results/ordering/factual_ordering.json,7,0,1,1,0,1,1,,,7,deathDate,[TRIPLE] Olga_Bondareva  deathDate  1991-12-09 [/TRIPLE],ordering,7
,webnlg17_input,factual,results/ordering/factual_ordering.json,8,0,3,3,0,3,3,,,8,deathPlace foundingDate areaTotal,[TRIPLE] Saint_Petersburg  foundingDate  1703-05-27 [/TRIPLE] [TRIPLE] Olga_Bondareva  deathPlace  Saint_Petersburg [/TRIPLE] [TRIPLE] Saint_Petersburg  areaTotal  1439.0 [/TRIPLE],ordering,8
,webnlg17_input,factual,results/ordering/factual_ordering.json,9,0,1,1,0,1,1,,,9,populationDensity,[TRIPLE] Ciudad_Ayala  populationDensity  1604.0 [/TRIPLE],ordering,9
,webnlg17_input,factual,results/ordering/factual_ordering.json,10,0,1,1,0,1,1,,,10,birthDate,[TRIPLE] Piotr_Hallmann  birthDate  1987-08-25 [/TRIPLE],ordering,10
,webnlg17_input,factual,results/ordering/factual_ordering.json,11,0,1,1,0,1,1,,,11,areaCode,[TRIPLE] Darlington  areaCode  01325 [/TRIPLE],ordering,11
,webnlg17_input,factual,results/ordering/factual_ordering.json,12,0,6,6,0,6,6,,,12,municipality location established category hasToItsNorth hasToItsWest,"[TRIPLE] Adams_County,_Pennsylvania  hasToItsWest  Franklin_County,_Pennsylvania [/TRIPLE] [TRIPLE] 11th_Mississippi_Infantry_Monument  established  2000 [/TRIPLE] [TRIPLE] 11th_Mississippi_Infantry_Monument  location  Adams_County,_Pennsylvania [/TRIPLE] [TRIPLE] 11th_Mississippi_Infantry_Monument  municipality  Gettysburg,_Pennsylvania [/TRIPLE] [TRIPLE] 11th_Mississippi_Infantry_Monument  category  Contributing_property [/TRIPLE] [TRIPLE] Adams_County,_Pennsylvania  hasToItsNorth  Cumberland_County,_Pennsylvania [/TRIPLE]",ordering,12
,webnlg17_input,factual,results/ordering/factual_ordering.json,13,0,1,1,0,1,1,,,13,officialLanguage,[TRIPLE] Israel  officialLanguage  Modern_Hebrew [/TRIPLE],ordering,13
,webnlg17_input,factual,results/ordering/factual_ordering.json,14,0,3,3,0,3,3,,,14,location operatingOrganisation elevationAboveTheSeaLevel,[TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  operatingOrganisation  ENAIRE [/TRIPLE] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  location  Alcobendas [/TRIPLE] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  elevationAboveTheSeaLevel  610.0 [/TRIPLE],ordering,14
,webnlg17_input,factual,results/ordering/factual_ordering.json,15,0,2,2,0,2,2,,,15,foundingDate product,[TRIPLE] GMA_New_Media  foundingDate  2000-01-01 [/TRIPLE] [TRIPLE] GMA_New_Media  product  Mobile_Applications [/TRIPLE],ordering,15
,webnlg17_input,factual,results/ordering/factual_ordering.json,16,0,3,3,1,3,4,industry,Hypermarcas industry Pharmaceuticals,16,location location areaTotal,[TRIPLE] Hypermarcas  location  São_Paulo [/TRIPLE] [TRIPLE] Brazil  areaTotal  8514837.14  (square kilometres) [/TRIPLE] [TRIPLE] Hypermarcas  location  Brazil [/TRIPLE] [TRIPLE] Hypermarcas  industry  Pharmaceuticals [/TRIPLE],ordering,16
