comparison_basis,count,dataset,predicate,task
webnlg17_input,107,counterfactual,producer,ordering
webnlg17_input,88,counterfactual,writer,ordering
webnlg17_input,56,counterfactual,professionalField,ordering
webnlg17_input,41,counterfactual,runtime,ordering
webnlg17_input,37,counterfactual,type,ordering
webnlg17_input,36,counterfactual,artist,ordering
webnlg17_input,26,counterfactual,citizenship,ordering
webnlg17_input,24,counterfactual,editing,ordering
webnlg17_input,21,counterfactual,recordedIn,ordering
webnlg17_input,18,counterfactual,industry,ordering
webnlg17_input,18,counterfactual,mission,ordering
webnlg17_input,13,counterfactual,icaoLocationIdentifier,ordering
webnlg17_input,12,counterfactual,training,ordering
webnlg17_input,10,counterfactual,location,ordering
webnlg17_input,9,counterfactual,birthPlace,ordering
webnlg17_input,9,counterfactual,knownFor,ordering
webnlg17_input,8,counterfactual,city,ordering
webnlg17_input,8,counterfactual,imdbId,ordering
webnlg17_input,8,counterfactual,releaseDate,ordering
webnlg17_input,7,counterfactual,cinematography,ordering
webnlg17_input,7,counterfactual,genre,ordering
webnlg17_input,6,counterfactual,staff,ordering
webnlg17_input,5,counterfactual,album,ordering
webnlg17_input,5,counterfactual,format,ordering
webnlg17_input,4,counterfactual,gross,ordering
webnlg17_input,4,counterfactual,longName,ordering
webnlg17_input,4,counterfactual,residence,ordering
webnlg17_input,3,counterfactual,architect,ordering
webnlg17_input,3,counterfactual,deathPlace,ordering
webnlg17_input,3,counterfactual,status,ordering
webnlg17_input,3,counterfactual,tenant,ordering
webnlg17_input,3,counterfactual,timeZone,ordering
webnlg17_input,2,counterfactual,cosparId,ordering
webnlg17_input,2,counterfactual,foundingDate,ordering
webnlg17_input,2,counterfactual,meaning,ordering
webnlg17_input,2,counterfactual,netIncome,ordering
webnlg17_input,2,counterfactual,percentageOfAreaWater,ordering
webnlg17_input,2,counterfactual,product,ordering
webnlg17_input,1,counterfactual,award,ordering
webnlg17_input,1,counterfactual,budget,ordering
webnlg17_input,1,counterfactual,certification,ordering
webnlg17_input,1,counterfactual,country,ordering
webnlg17_input,1,counterfactual,course,ordering
webnlg17_input,1,counterfactual,director,ordering
webnlg17_input,1,counterfactual,dissolutionYear,ordering
webnlg17_input,1,counterfactual,governmentType,ordering
webnlg17_input,1,counterfactual,ground,ordering
webnlg17_input,1,counterfactual,ingredient,ordering
webnlg17_input,1,counterfactual,iso6392Code,ordering
webnlg17_input,1,counterfactual,musicalBand,ordering
webnlg17_input,1,counterfactual,numberOfDoctoralStudents,ordering
webnlg17_input,1,counterfactual,office,ordering
webnlg17_input,1,counterfactual,precededBy,ordering
webnlg17_input,1,counterfactual,recordLabel,ordering
webnlg17_input,1,counterfactual,revenue,ordering
webnlg17_input,1,counterfactual,selectedByNasa,ordering
webnlg17_input,1,counterfactual,service,ordering
webnlg17_input,1,counterfactual,state,ordering
webnlg17_input,1,counterfactual,utcOffset,ordering
webnlg17_input,116,factual,producer,ordering
webnlg17_input,89,factual,writer,ordering
webnlg17_input,60,factual,professionalField,ordering
webnlg17_input,58,factual,runtime,ordering
webnlg17_input,41,factual,artist,ordering
webnlg17_input,40,factual,type,ordering
webnlg17_input,27,factual,citizenship,ordering
webnlg17_input,23,factual,editing,ordering
webnlg17_input,22,factual,city,ordering
webnlg17_input,22,factual,recordedIn,ordering
webnlg17_input,21,factual,mission,ordering
webnlg17_input,15,factual,industry,ordering
webnlg17_input,13,factual,icaoLocationIdentifier,ordering
webnlg17_input,12,factual,birthPlace,ordering
webnlg17_input,12,factual,training,ordering
webnlg17_input,10,factual,knownFor,ordering
webnlg17_input,10,factual,location,ordering
webnlg17_input,9,factual,cinematography,ordering
webnlg17_input,7,factual,gross,ordering
webnlg17_input,7,factual,releaseDate,ordering
webnlg17_input,7,factual,residence,ordering
webnlg17_input,6,factual,format,ordering
webnlg17_input,6,factual,imdbId,ordering
webnlg17_input,6,factual,mainIngredient,ordering
webnlg17_input,5,factual,genre,ordering
webnlg17_input,4,factual,album,ordering
webnlg17_input,3,factual,architect,ordering
webnlg17_input,3,factual,cosparId,ordering
webnlg17_input,3,factual,deathPlace,ordering
webnlg17_input,3,factual,longName,ordering
webnlg17_input,3,factual,state,ordering
webnlg17_input,3,factual,status,ordering
webnlg17_input,3,factual,tenant,ordering
webnlg17_input,2,factual,award,ordering
webnlg17_input,2,factual,certification,ordering
webnlg17_input,2,factual,foundingDate,ordering
webnlg17_input,2,factual,meaning,ordering
webnlg17_input,2,factual,musicalBand,ordering
webnlg17_input,2,factual,netIncome,ordering
webnlg17_input,2,factual,selectedByNasa,ordering
webnlg17_input,2,factual,staff,ordering
webnlg17_input,1,factual,academicStaffSize,ordering
webnlg17_input,1,factual,assembly,ordering
webnlg17_input,1,factual,dissolutionYear,ordering
webnlg17_input,1,factual,distributor,ordering
webnlg17_input,1,factual,gridReference,ordering
webnlg17_input,1,factual,ground,ordering
webnlg17_input,1,factual,numberOfDoctoralStudents,ordering
webnlg17_input,1,factual,numberOfStudents,ordering
webnlg17_input,1,factual,percentageOfAreaWater,ordering
webnlg17_input,1,factual,regionServed,ordering
webnlg17_input,1,factual,runwaySurfaceType,ordering
webnlg17_input,1,factual,service,ordering
webnlg17_input,117,fictional,producer,ordering
webnlg17_input,88,fictional,writer,ordering
webnlg17_input,51,fictional,professionalField,ordering
webnlg17_input,41,fictional,runtime,ordering
webnlg17_input,32,fictional,artist,ordering
webnlg17_input,25,fictional,type,ordering
webnlg17_input,22,fictional,editing,ordering
webnlg17_input,22,fictional,recordedIn,ordering
webnlg17_input,21,fictional,citizenship,ordering
webnlg17_input,18,fictional,industry,ordering
webnlg17_input,16,fictional,mission,ordering
webnlg17_input,12,fictional,releaseDate,ordering
webnlg17_input,12,fictional,training,ordering
webnlg17_input,11,fictional,icaoLocationIdentifier,ordering
webnlg17_input,10,fictional,birthPlace,ordering
webnlg17_input,10,fictional,location,ordering
webnlg17_input,9,fictional,knownFor,ordering
webnlg17_input,8,fictional,imdbId,ordering
webnlg17_input,5,fictional,cinematography,ordering
webnlg17_input,5,fictional,format,ordering
webnlg17_input,5,fictional,staff,ordering
webnlg17_input,4,fictional,award,ordering
webnlg17_input,4,fictional,residence,ordering
webnlg17_input,3,fictional,architect,ordering
webnlg17_input,3,fictional,city,ordering
webnlg17_input,3,fictional,status,ordering
webnlg17_input,3,fictional,tenant,ordering
webnlg17_input,2,fictional,album,ordering
webnlg17_input,2,fictional,certification,ordering
webnlg17_input,2,fictional,deathPlace,ordering
webnlg17_input,2,fictional,gross,ordering
webnlg17_input,2,fictional,ingredient,ordering
webnlg17_input,2,fictional,meaning,ordering
webnlg17_input,2,fictional,musicalBand,ordering
webnlg17_input,2,fictional,numberOfStudents,ordering
