Source,Translation
"Agremiação Sportiva Arapiraquense, also known as ""Alvinegro,"", is a Brazilian football club located in Arapiraca. The team plays in the Campeonato Brasileiro Série C league. Their home games are held at Estádio Municipal Coaracy da Mata Fonseca.",".نادي أغريمياسو سبورتيفا أرايبيراكوينسي، المعروف أيضًا باسم ""ألفي نيغرو""، هو نادي كرة قدم برازيلي يقع في أرابيراكا. يلعب الفريق في دوري الدرجة الثالثة البرازيلي. تقام مبارياته على أرضه على ملعب إستاديو ميونيسيبال كواراسي دا ماتا فونسيكا"
"Nie Haisheng was born on October 13, 1964, and is a fighter pilot.",ولد ني هايشينج في 13 أكتوبر 1964، وهو طيار مقاتل.
MotorSport Vision is located in Fawkham.,تقع شركة موتورسبورت فيجن في فوخام.
Aleksandr Prudnikov stands at a height of 185.0 centimeters and is a football player for FC Spartak Moscow. The team grounds its matches at Otkrytiye Arena.,.يبلغ ارتفاع ألكسندر برودنيكوف 185.0 سم، وهو لاعب كرة قدم في نادي سبارتاك موسكو لكرة القدم. يلعب الفريق مبارياته على أرض ملعب أوتكريتيي أرينا
"The city of CiudadAyala has a population of 1,777,539 and a population density of 1604 people per square kilometer. It is classified as a city and operates under a council-manager government. The city manager is the elected leader of the city.",.تبلغ مساحة مدينة سيوداد أيالا 1777539 نسمة، وتبلغ الكثافة السكانية 1604 نسمة لكل كيلومتر مربع. وهي مصنفة كمدينة وتعمل في إطار حكومة يديرها مجلس. ومدير المدينة هو القائد المنتخب للمدينة
"The album ""Squeeze"" by The Velvet Underground was released before ""Bootleg Series Volume 1: The Quine Tapes."" After ""Squeeze"" came another album by The Velvet Underground, titled ""1969: The Velvet Underground Live.""","صدر ألبوم ""سكويز"" لفرقة فيلفيت أندرغراوند قبل ""سلسلة بوتليغ، المجلد 1: تسجيلات كوين"". وبعد ألبوم ""سكويز""، أصدرت فرقة فيلفيت أندرغراوند ألبومًا آخر بعنوان ""1969: فيلفيت أندرغراوند لايف""."
"The city of Ciudad Ayala, located in Mexico, has a population density of 1604 people per square kilometer. Its leader holds the title of Governator. The city is situated at an elevation of 1147 meters above sea level and observes Pacific Daylight Time as its time zone.",.تبلغ الكثافة السكانية لمدينة سيوداد أيايا، الواقعة في المكسيك، 1604 شخصًا لكل كيلومتر مربع. ويحمل حاكمها لقب الحاكم. تقع المدينة على ارتفاع 1147 مترًا فوق مستوى البحر وتتبع منطقة توقيت التوقيت الصيفي الهادئ.
"Olga Bondareva passed away on December 9, 1991.",.توفيت أولغا بونداريفا في 9 ديسمبر 1991
"Saint Petersburg, founded in 1703, is the place where Olga Bondareva passed away. The total area of Saint Petersburg is 1,439.0 square units.",توفي أولغا بونداريفا في سانت بطرسبرغ، التي تأسست عام 1703. تبلغ المساحة الإجمالية لسانت بطرسبرغ 1439.0 وحدة مربعة.
The population density of Ciudad Ayala is 1604.0 people per square kilometer.,تبلغ الكثافة السكانية في سيوداد أيالا 1604.0 نسمة لكل كيلومتر مربع
"Piotr Hallmann was born on August 25, 1987.",ولد بيوت ر هولمان في 25 أغسطس 1987
The area code for Darlington is 01325.,.الرمز البريدي لدارلينجتون هو 01325
"The 11th Mississippi Infantry Monument is a contributing property located in Adams County, Pennsylvania, specifically in the municipality of Gettysburg. It was established in the year 2000 and is to the west of Franklin County and to the north of Cumberland County.",.نصب مشاة ميسيسيبي الحادي عشر هو ملكية مساهمة تقع في مقاطعة آدمز، بنسلفانيا، وتحديدًا في بلدية جيتيسبيرغ. وقد أنشئ في عام 2000 ويقع غرب مقاطعة فرانكلين وشمال مقاطعة كومبرلاند
Israel's official language is Modern Hebrew.,اللغة الرسمية في إسرائيل هي اللغة العبرية الحديثة.
"Adolfo Suárez Madrid-Barajas Airport is operated by ENAIRE and located in Alcobendas, with an elevation above sea level of 610.0 meters.",يتم تشغيل مطار أدولفو سواريز، مدريد-باراخاس بواسطة شركة إناير ويقع في الكوبنداس، على ارتفاع 610.0 متر فوق مستوى سطح البحر.
"GMANewMedia, a company, was founded on January 1, 2000. Its product offerings include Mobile Applications.",تأسست شركة جيماينيو ميديا في الأول من يناير عام 2000. تشمل منتجاتها التطبيقات المحمولة.
"Hypermarcas, a company based in São Paulo, Brazil, occupies an area of approximately 8.5 million square kilometers in the country. The industry in which Hypermarcas operates is Pharmaceuticals.",تشغل شركة هايبرماركاس، التي يقع مقرها في ساو باولو بالبرازيل، مساحة تبلغ حوالي 8.5 مليون كيلومتر مربع في البلاد. والصناعة التي تعمل بها الشركة هي صناعة الأدوية.
