dataset,file,idx,input,num_input_triples,num_matched_triples,num_omitted_triples,num_predicted_predicates,omitted_predicates,omitted_triples,position,pred,task
counterfactual,results/ordering/counterfactual_ordering.json,4,[TRIPLE] Ardãos  populationMetro  27400 [/TRIPLE] [TRIPLE] Ardãos  leaderTitle  Führer [/TRIPLE] [TRIPLE] Ardãos  type  City [/TRIPLE] [TRIPLE] Ardãos  populationDensity  1147.0 [/TRIPLE] [TRIPLE] Ardãos  governmentType  monocracy [/TRIPLE],5,4,1,4,type,Ardãos type City,4,leaderTitle governmentType populationDensity populationMetro,ordering
counterfactual,results/ordering/counterfactual_ordering.json,16,[TRIPLE] Koenigsegg  location  Segredo [/TRIPLE] [TRIPLE] United_States_of_America  areaTotal  8514837.14__(square_kilometres) [/TRIPLE] [TRIPLE] Koenigsegg  location  United_States_of_America [/TRIPLE] [TRIPLE] Koenigsegg  industry  Pharmaceuticals [/TRIPLE],4,3,1,4,industry,Koenigsegg industry Pharmaceuticals,16,location location manufacturer areaTotal,ordering
counterfactual,results/ordering/counterfactual_ordering.json,20,[TRIPLE] Clarity  artist  Crazy_Horse [/TRIPLE] [TRIPLE] Clarity  producer  Crazy_Horse [/TRIPLE] [TRIPLE] Clarity  runtime  418476000000.0 [/TRIPLE] [TRIPLE] Clarity  recordedIn  Turkey [/TRIPLE] [TRIPLE] Clarity  recordedIn  Potsdam [/TRIPLE] [TRIPLE] Clarity  genre  music_of_Japan [/TRIPLE] [TRIPLE] Clarity  recordLabel  Bliss_Corporation [/TRIPLE],7,2,5,6,artist | producer | runtime | recordedIn | recordedIn,Clarity artist Crazy_Horse || Clarity producer Crazy_Horse || Clarity runtime 418476000000.0 || Clarity recordedIn Turkey || Clarity recordedIn Potsdam,20,genre recordLabel recordLabel recordIn location recordTime,ordering
counterfactual,results/ordering/counterfactual_ordering.json,23,[TRIPLE] Mermaid_(Train_song)  followedBy  Dschoint_Ventschr [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  album  Rarities [/TRIPLE],3,1,2,2,producer | album,Mermaid_(Train_song) producer Espionage_(production_team) || Mermaid_(Train_song) album Rarities,23,followedBy record,ordering
counterfactual,results/ordering/counterfactual_ordering.json,24,[TRIPLE] What_Ever_Happened_to_Baby_Jane?  publisher  Gruppo_Mondadori [/TRIPLE] [TRIPLE] What_Ever_Happened_to_Baby_Jane?  literaryGenre  secret_history [/TRIPLE] [TRIPLE] What_Ever_Happened_to_Baby_Jane?  followedBy  I_Am_a_Cat [/TRIPLE] [TRIPLE] What_Ever_Happened_to_Baby_Jane?  author  Horst_Köhler [/TRIPLE] [TRIPLE] What_Ever_Happened_to_Baby_Jane?  releaseDate  1726-01-01 [/TRIPLE],5,4,1,4,releaseDate,What_Ever_Happened_to_Baby_Jane? releaseDate 1726-01-01,24,author publisher literaryGenre followedBy,ordering
counterfactual,results/ordering/counterfactual_ordering.json,26,[TRIPLE] Chasing_Amy  cinematography  Larry_Aceves [/TRIPLE] [TRIPLE] Chasing_Amy  writer  Markku_Pusenius [/TRIPLE] [TRIPLE] Chasing_Amy  runtime  173.46 [/TRIPLE],3,2,1,3,writer,Chasing_Amy writer Markku_Pusenius,26,editor runtime cinematography,ordering
counterfactual,results/ordering/counterfactual_ordering.json,27,[TRIPLE] Marcus_Mumford  spouse  Blaise_Matuidi [/TRIPLE] [TRIPLE] Marcus_Mumford  deathDate  2006-09-06 [/TRIPLE] [TRIPLE] Marcus_Mumford  professionalField  cellular_transport [/TRIPLE],3,2,1,2,professionalField,Marcus_Mumford professionalField cellular_transport,27,spouse deathDate,ordering
counterfactual,results/ordering/counterfactual_ordering.json,29,[TRIPLE] Carlo_Azeglio_Ciampi  birthPlace  Karlsruhe [/TRIPLE] [TRIPLE] Carlo_Azeglio_Ciampi  nationality  United_States [/TRIPLE] [TRIPLE] Carlo_Azeglio_Ciampi  training  School_of_Applied_Arts_in_Stuttgart [/TRIPLE] [TRIPLE] Karlsruhe  country  France [/TRIPLE] [TRIPLE] United_States  language  Caluyanon [/TRIPLE],5,4,1,4,training,Carlo_Azeglio_Ciampi training School_of_Applied_Arts_in_Stuttgart,29,nationality birthPlace country language,ordering
counterfactual,results/ordering/counterfactual_ordering.json,31,[TRIPLE] Mermaid_(Train_song)  recordLabel  Amphetamine_Reptile_Records [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  runtime  16800 [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  recordLabel  Sony_BMG_Music_Entertainment_(Poland)_Sp._z_o.o. [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Arnaut_Daniel [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  genre  Tswana_music [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Klinik [/TRIPLE],6,3,3,4,runtime | writer | writer,Mermaid_(Train_song) runtime 16800 || Mermaid_(Train_song) writer Arnaut_Daniel || Mermaid_(Train_song) writer Klinik,31,genre recordLabel recordLabel author,ordering
counterfactual,results/ordering/counterfactual_ordering.json,32,[TRIPLE] Music_of_The_Lord_of_the_Rings_film_series  musicComposer  Laura_Berg [/TRIPLE] [TRIPLE] Music_of_The_Lord_of_the_Rings_film_series  starring  Simon_Lohet [/TRIPLE] [TRIPLE] Music_of_The_Lord_of_the_Rings_film_series  writer  François_Mitterrand [/TRIPLE],3,2,1,3,writer,Music_of_The_Lord_of_the_Rings_film_series writer François_Mitterrand,32,starring musicComposer author,ordering
counterfactual,results/ordering/counterfactual_ordering.json,35,[TRIPLE] Lys  genre  concerto [/TRIPLE] [TRIPLE] Lys  producer  Led_Zeppelin [/TRIPLE] [TRIPLE] Lys  genre  cantata [/TRIPLE] [TRIPLE] Lys  recordLabel  Osmose_Productions [/TRIPLE] [TRIPLE] Lys  releaseDate  1726-01-01 [/TRIPLE],5,4,1,4,producer,Lys producer Led_Zeppelin,35,genre genre recordLabel releaseDate,ordering
counterfactual,results/ordering/counterfactual_ordering.json,36,[TRIPLE] Granjinha  populationMetro  418476000000.0 [/TRIPLE] [TRIPLE] Granjinha  leaderTitle  office_held_by_head_of_the_organization [/TRIPLE] [TRIPLE] Granjinha  type  City [/TRIPLE] [TRIPLE] Granjinha  populationDensity  11.5 [/TRIPLE] [TRIPLE] Granjinha  governmentType  hexacameralism [/TRIPLE] [TRIPLE] Granjinha  utcOffset  −6 [/TRIPLE],6,5,1,5,type,Granjinha type City,36,governmentType leaderTitle populationMetro populationDensity utcOffset,ordering
counterfactual,results/ordering/counterfactual_ordering.json,37,[TRIPLE] 36_Views_from_the_Pic_Saint-Loup  starring  Roald_Dahl [/TRIPLE] [TRIPLE] 36_Views_from_the_Pic_Saint-Loup  starring  Pierre_Aïm [/TRIPLE] [TRIPLE] 36_Views_from_the_Pic_Saint-Loup  budget  1604.0 [/TRIPLE] [TRIPLE] 36_Views_from_the_Pic_Saint-Loup  writer  Eric_Stuart [/TRIPLE] [TRIPLE] 36_Views_from_the_Pic_Saint-Loup  director  Eric_Stuart [/TRIPLE] [TRIPLE] 36_Views_from_the_Pic_Saint-Loup  runtime  3.16 [/TRIPLE],6,4,2,4,writer | runtime,36_Views_from_the_Pic_Saint-Loup writer Eric_Stuart || 36_Views_from_the_Pic_Saint-Loup runtime 3.16,37,starring starring director budget,ordering
counterfactual,results/ordering/counterfactual_ordering.json,39,[TRIPLE] Not_Here_to_Be_Loved  starring  Denia_Mazzola [/TRIPLE] [TRIPLE] Not_Here_to_Be_Loved  writer  Denia_Mazzola [/TRIPLE],2,1,1,2,writer,Not_Here_to_Be_Loved writer Denia_Mazzola,39,starring author,ordering
counterfactual,results/ordering/counterfactual_ordering.json,40,[TRIPLE] Turkey  currency  Canadian_dollar [/TRIPLE] [TRIPLE] Turkey  demonym  Latvians [/TRIPLE] [TRIPLE] Bionico  course  Nasi_uduk [/TRIPLE] [TRIPLE] Bionico  region  Telchac_Puerto [/TRIPLE] [TRIPLE] Nasi_uduk  dishVariation  mimosa_sugar_ball [/TRIPLE] [TRIPLE] Bionico  mainIngredient  chana_masala [/TRIPLE] [TRIPLE] Bionico  country  Turkey [/TRIPLE],7,6,1,6,course,Bionico course Nasi_uduk,40,region country mainIngredient dishVariation currency demonym,ordering
counterfactual,results/ordering/counterfactual_ordering.json,41,[TRIPLE] Vila_Longa  leaderTitle  consul_suffectus [/TRIPLE] [TRIPLE] Vila_Longa  type  City [/TRIPLE] [TRIPLE] Vila_Longa  populationDensity  98.0 [/TRIPLE],3,2,1,3,type,Vila_Longa type City,41,leaderTitle city populationDensity,ordering
counterfactual,results/ordering/counterfactual_ordering.json,50,"[TRIPLE] Leonid_Razvozzhayev  birthDate  ""1998-07-21"" [/TRIPLE] [TRIPLE] Leonid_Razvozzhayev  deathPlace  Michigan [/TRIPLE] [TRIPLE] Leonid_Razvozzhayev  birthPlace  Virginia [/TRIPLE] [TRIPLE] Leonid_Razvozzhayev  mission  Shenzhou_9 [/TRIPLE]",4,3,1,3,mission,Leonid_Razvozzhayev mission Shenzhou_9,50,birthDate birthPlace deathPlace,ordering
