Source,Translation
"Trafford FC, a soccer team in the EFL League One based in the United States, is known by the nickname ""Steve Bright"" and plays its home games at Estadio Jorge Luis Hirschi in Itamarati de Minas.","""스티브 브라이트""라는 별명으로 알려진 트래퍼드 FC는 EFL 리그 원에 소속된 미국의 축구팀으로, 이타마라치 데 미나스에 위치한 에스타디오 호르헤 루이스 히르시에 홈구장을 두고 있습니다."
"Martial, born on January 1, 1942, is a military engineer.",1942년 1월 1일생인 마르시알은 군사 엔지니어입니다.
Juventus FC is a football club based in Kiryushkino.,유벤투스 FC는 키류시노에 연고를 둔 축구 클럽입니다.
"Wang Xiaoyun stands at a height of 17068.8 millimetres (1.71 metres) and plays for Coalville Town FC, whose ground is Estadio Reino de León.","왕샤오윈은 키가 17068.8밀리미터(1.71미터)이고, 홈구장인 에스타디오 레이노 데 레온에서 코알빌 타운 FC를 뛰고 있습니다."
"The city of Ardãos, led by a Führer, has a population of approximately 27,400 people and a population density of 1,147.0 per square kilometer. It is a monocratic city.","아르당스 시는 퓌러가 이끄는 인구 약 2만 7400명의 도시입니다. 인구 밀도는 제곱킬로미터당 1,147.0명입니다. 이 도시는 일당제 도시입니다."
"The song ""Lovex"" precedes ""Tears on Tape"" in a music sequence, and ""Strong Persuader"" follows ""Lovex.""","""Lovex""라는 노래는 음악 시퀀스에서 ""Tears on Tape""보다 앞서며, ""Strong Persuader""는 ""Lovex"" 뒤에 나옵니다."
"Emperor Dezong of Tang rules over the Philippine country of Paradela, which has a population density of 1095.0 and an elevation of 98.0 meters above sea level. The time zone of Paradela is UTC+05:00.","당나라 덕종 황제는 인구밀도 1095.0, 해발고도 98.0미터인 필리핀의 파라델라 지방을 통치했습니다. 파라델라의 시간대는 UTC+05:00입니다."
"Sonali Bendre was born on July 29, 1954.",1975년 7월 29일
"Leningrad, founded in 1726, is a region with a total area of 10,252 square units, where Serghei Gheorghiev passed away.","레닌그라드는 1703년에 설립되었으며, 세르게이 게르기에프가 사망한 곳입니다. 이 지역의 총 면적은 10,252평방유닛입니다."
"Bergwerk has a population density of 380,700,000 people.","베르그베르크의 인구 밀도는 38,700,000명입니다."
"Joseph Brodsky was born on January 1, 1955.",1935년 5월 24일
Rawmarsh Welfare FC is located in an area with code 89.,로어마시 웰페어 FC는 우편번호 89번 지역에 위치해 있습니다.
"Armagh, a contributing property located in Mesa County, was established in the year 2000. It is bordered by Cumberland County to its north and Franklin County, Pennsylvania, to its west.","암파, 메사 카운티에 위치한 기여 속성은 2000년에 설립되었습니다. 북쪽에는 컴벌랜드 카운티, 서쪽에는 펜실베니아의 프랭클린 카운티와 접해 있습니다."
Spain's official language is not Skolt Sami. Spain's official language is Spanish.,스페인의 공식 언어는 스콜트 사미어가 아닙니다. 스페인의 공식 언어는 스페인어입니다.
"Dallas/Fort Worth International Airport, located at Pino del Oro, is operated by Skyguide with an elevation of 11.5 meters above sea level.","달라스/포트워스 국제공항은 피노 델 오로에 위치하고 있으며, 스카이가이드가 운영하며 해발 11.5m에 자리 잡고 있습니다."
"Funke Mediengruppe was founded on June 14, 1994, and they developed IBM Lotus QuickPlace.","푼케 미디어 그룹은 1994년 6월 14일에 설립되었으며, IBM 로터스 퀵플레이스를 개발했습니다."
"Koenigsegg is a company located in Segredo, United States of America, spanning over an area of approximately 8,514,837.14 square kilometers. The industry this company operates in is pharmaceuticals.","코닉세그는 미국 세그도에 위치한 제약 회사입니다. 이 회사의 사업 영역은 약 8,514,837.14 제곱킬로미터에 걸쳐 있습니다."
"The jazz genre hard bop was preceded by Fizzyology, which in turn was preceded by the album Rainbow. The German album Die Bestie in Menschengestalt falls under the hard bop genre.","재즈 장르 하드밥은 피지올로지(Fizzyology)에 의해 계승되었으며, 피지올로지는 레인보우 앨범에 의해 계승되었습니다. 독일의 앨범 《Die Bestie in Menschengestalt》는 하드밥 장르에 속합니다."
"Marie Curie is the director of Wellington College, which is affiliated with the University of Massachusetts Amherst and located in Nicaragua. The campus of Wellington College is at E-Vinyl.",마리아 스쿰은 매사추세츠 애머스트 대학교와 제휴하고 니카라과에 위치한 웰링턴 칼리지의 교장입니다. 웰링턴 칼리지의 캠퍼스는 E-비닐에 있습니다.
"Joachim Gauck was born and died in Mexico, however, there seems to be a mistake in the provided information as Mexico is not known to have an ethnic group of African Americans. Therefore, I cannot provide a complete summary based on the given triples.","조아킴 가우크는 멕시코에서 태어나고 죽었습니다. 그러나 제공된 정보에 오류가 있는 것 같습니다. 멕시코에 아프리카계 미국인 인종 집단이 존재한다는 것은 알려지지 않았습니다. 따라서, 저는 주어진 삼중형태를 기반으로 완전한 요약을 제공할 수 없습니다."
"The album ""Clarity"" was produced and performed by the artist Crazy Horse. It was recorded in both Turkey and Potsdam and has a runtime of 41,847,600,000 microseconds (approximately 41 hours and 41 minutes). The genre of this album is music of Japan, and it is released under the record label Bliss Corporation.","앨범 ""클래리티""는 크레이지 호스라는 아티스트가 제작하고 공연했습니다. 이 앨범은 터키와 포츠담에서 녹음되었으며, 실행 시간은 41,847,600,000 마이크로초(약 41시간 41분)입니다. 이 앨범의 장르는 일본의 음악이며, 블리스 코퍼레이션 레코드 레이블에서 발매되었습니다."
"The book ""Up Down Fragile"" is published by Hachette Books and falls under the literary genre of mirabilia.","""업 다운 프래질""이라는 책은 아셰트 북스에서 출판되었으며 미라빌리아라는 문학 장르에 속합니다."
Karl Carstens was born in California and later died in New Jersey. He was awarded the Distinguished Service Medal by the United States Navy.,칼 카르스텐스는 캘리포니아에서 태어났고 나중에 뉴저지에서 사망했습니다. 그는 미국 해군으로부터 수훈 복무 훈장을 받았습니다.
"The production team Espionage produced the album ""Rarities"" which includes the song ""Mermaid (Train Song)"" by Dschoint Ventschr. Previously, ""Mermaid (Train Song)"" was also released as a standalone track.","제작팀 에스피오나지는 Dschoint Ventschr의 노래 ""Mermaid (Train Song)""가 수록된 앨범 ""희귀곡집""을 제작했습니다. 이전에 ""Mermaid (Train Song)""은 독립형 트랙으로도 발매되었습니다."
