Source,Translation
"Hegrestown-United, also known as Mofane, is a sports team that plays in the Almamon-Premiere league. Their home ground is The Binary Ballpark, which is located in Lomofa. The Almamon-Premiere league is based in the country of Pyarhola.",.فريق هيجريستون يونايتد، المعروف أيضًا باسم موفاني، هو فريق رياضي يلعب في دوري ألمامون الممتاز. ملعبهم الأساسي هو ملعب ذا بيناري، الواقع في لوموفا. ويقع مقر دوري ألمامون الممتاز في دولة بيارهول
"Chryse Folee was born on May 28, 1988, and she is a Megamace Trooper.",ولدت كريس فولي في 28 مايو 1988، وهي جندية في قوات ميجاماس.
The city Graimond is associated with SunSentinel Research.,ترتبط مدينة غرايموند ببحوث صن سينتينيل.
Doness Veron is a football player with a height of 1.79 meters (5 feet 10 inches) and plays for Transcester Rovers. Transcester Rovers play their home games at Krajina Stadium.,.لاعب كرة القدم دونيس فيرون يبلغ طوله 1.79 مترًا (5 قدمًا و10 بوصات) ويلعب مع نادي ترانسيستر روفرز. يلعب ترانسيستر روفرز مبارياته على أرضه على استاد كرايينا
"The Grand Maven, Zawollor's leader, presides over the Council of Negus, its government type. The population density of Zawollor is 4594.14 and its metropolitan population is 5892.34.",.المافين الأكبر، زعيم زاولور، يرأس مجلس النيغوس، وهو نوع الحكومة المتبعة هناك. تبلغ الكثافة السكانية لزاولور 4594.14 نسمة، بينما يبلغ عدد سكانها ضمن نطاقها الحضري 5892.34 نسمة
"In the sequence, Nocturnity is followed by Droqueen, and Tranwinz comes before Nocturnity.",في التسلسل، يتبع Nocturnity Droqueen، ويأتي Tranwinz قبل Nocturnity.
"The country of Delbinia is home to Balthat, a notable landmark with an elevation of 2161.93 meters above sea level, a population density of 5892.34 people per square kilometer, and a time zone of UTC+04:04. The leader of Balthat is titled KinsMixinOrsh.",.ديلبينيا هي موطن لبالثات، وهو معلم بارز بارتفاع 2161.93 مترًا فوق مستوى البحر، وكثافة سكانية تبلغ 5892.34 شخصًا لكل كيلومتر مربع، ومنطقة زمنية بتوقيت عالمي منسق +04:04. يحمل زعيم بالثات لقب كينسمكسينورش
"Liath Torec died on December 19, 1501.",توفي لياث توريك في 19 ديسمبر 1501.
"Ayre Zhirina passed away at Selavug, a place with a founding date of January 22, 1960, and an area totaling 4103.29 square units.",توفيت أيري زهيرينا في سيلافوج، وهو مكان تأسس في 22 يناير 1960، وتبلغ مساحته الإجمالية 4103.29 وحدة مربعة.
The population density of Torpootan is 468.15.,.تبلغ الكثافة السكانية لقرية توربووتان 468.15
"Malonor Vosse was born on June 30, 1970.",ولد مالونور فوس في 30 يونيو 1970
The Eldriquence Athletic area code is 690.38.,.الرمز البريدي لمنطقة إيلدريكوانس الرياضية هو 690.38
"The Starborn Gate, a gomber bridge, was established in 12237 and is located in the municipality of Quarcrest, in Furtendon County. Furtendon County borders Sophal County to the north and Chatham County to the west.",.بوابة ستاربون، وهي جسر غومبر، أنشئت في 12237 وتقع في بلدية كواركريست، في مقاطعة فرتندون. تحد مقاطعة فرتندون مقاطعة سوفال من الشمال ومقاطعة شاثام من الغرب
"I'm sorry, but I cannot generate a textual output for the given triple as there seems to be a missing or incorrect piece of information. The triple ""Nalonar officialLanguage Arbile"" is not valid, as ""Arbile"" does not appear to be a known language. Could you please check the information and provide the correct triple? Thank you.",".أنا آسف، ولكن لا يمكنني إنشاء إخراج نصي للثلاثي المعطى حيث يبدو أن هناك قطعة مفقودة أو غير صحيحة من المعلومات. الثلاثي ""Nalonar officialLanguage Arbile"" غير صالح، حيث يبدو أن ""Arbile"" ليست لغة معروفة. يرجى التحقق من المعلومات وتوفير الثلاثي الصحيح. شكرا لك"
Gastrana Airport is located in Yesca and is operated by Westen Aviations. Its elevation above sea level is 599.41 meters.,.مطار غاسترينا يقع في ييسكا وتديره شركة ويستن للطيران. يبلغ ارتفاعه عن مستوى البحر 599.41 متراً
"Omplex Software was founded on October 21, 1939 and they developed the product named Tannee.",تأسست شركة أومبليكس للبرمجيات في 21 أكتوبر 1939 وقامت بتطوير المنتج المسمى تانني.
The Refreec Construction project is located in both Caranduca and Gremeron. Gremeron is an area with a total size of Pemblecliff.,.يقع مشروع بناء Refreec في كل من Caranduca و Gremeron. Gremeron هي منطقة بحجم إجمالي من Pemblecliff
"The artist Taglorney is known for producing music in the genre of Fumefunk. His musical career began after Evolulution, who in turn preceded Rodcksas.",.يعرف الفنان تاجلورني بإنتاجه الموسيقى في نوع فمي فانك. بدأت مسيرته الموسيقية بعد إيفولوشن، الذي سبقه بدوره رودكساس
The Westsail College campus is located on Yeltsquare Street in the country of Zuvar. The college is directed by Lykaan and is affiliated with Chiasell University of Global Business.,تقع كلية ويستسايل في شارع يلتسكواير في دولة زوفار. ويرأس الكلية ليكاان وهي تابعة لجامعة تشياسيل للأعمال العالمية.
"Oshedon Zaqar was born and died in Gremeron, a place belonging to the ethnic group Ilyonis.",ولد أشيذون زاقار وتوفي في جريمرون، وهي مكان تنتمي إلى المجموعة العرقية إيليونيس.
Belfinto is a musician who produces music in the genre Waveskank and is signed to the record label SequencingSelection.,.بيلفينتو هو موسيقي ينتج الموسيقى في نوع ويفسكانك وهو موقع لتسجيل العلامات التجارية المسماة سيكوانسينجسيليشن
"The book ""Breaking Barriers"" is published by Corexco Books and falls under the literary genre of Xetoimime.",".نُشر كتاب ""تحطيم الحواجز"" من قبل كوريكسو بوكس ويندرج تحت النوع الأدبي خيمروميم"
Elzer Padon was born in Axlrise and received the Supreme Bravery Insignia award. He died in Eskland.,ولد إلزر بادون في أكسلرايز وحصل على وسام الشجاعة الأعظم. توفي في إسكلاند.
Mariana is followed by Charmed Productions.,.تتبع ماريانا شركة تشارمد برودكشنز
"The author of the science fiction novel ""Portal of Power"" is Ganasah Jilson. It falls under the literary genre of LunIX and was published by Phoenix Books. The novel was first released on November 13, 1932, and is followed by the sequel ""The Secret Treasures of Pangaeum"".",".مؤلف رواية الخيال العلمي ""بوابة القوة"" هو جاناساه جيلسون. تقع الرواية تحت النوع الأدبي لـ LunIX ونشرتها كتب فينيكس. تم إصدار الرواية لأول مرة في 13 نوفمبر 1932، وتليها تتمة ""الكنوز السرية لبانجايوم"""
TriStone Logistics is a company located in Quarvona that operates in the Foquafling industry.,تقع شركة TriStone Logistics في كورفونا وهي تعمل في صناعة فوكافلينغ.
"The cinematography for the film ""Uprising on the Horizon"" is by Nipher Ylize.",".تمت أعمال التصوير السينمائي لفيلم ""انتفاضة في الأفق"" بواسطة نيفير يليز"
"Tula Nidello was married to Blither Xesto and passed away on July 8, 1975.",.تزوجت تولا نيديلو من بليذر زستو وتوفيت في 8 يوليو 1975
Asthona Meyas is a political figure who resides in Dermas and is a member of the Popular Humanitarian Movement party.,.أستونا مياس شخصية سياسية تقيم في ديرماس وهي عضو في حزب الحركة الإنسانية الشعبية
"BrineonDarka was born in Schnellbach, a place located in the country Arsynen. BrineonDarka holds the nationality of Zecorma and speaks the Kirvi language.",ولد برينيونداركا في شنيلباخ، وهي منطقة تقع في بلد تسمى أرسينين. يحمل برينيونداركا جنسية زيكورما ويتحدث لغة الكيرفي.
The location of Freshfier Investments is Zevarim.,.يقع مقر شركة فريشفير إنفستمنتس في زيفاريم
"Haemara is a jazz artist signed to both Laminar Clicks and Within The Beat record labels. Their music genre is jazz and their recorded runtime is 5892.34 seconds (approximately 1 hour, 47 minutes, and 18 seconds).",.هايمارا هو فنان جاز موقع لكل من شركتي التسجيلات لامينار كليكس وذاتن ذا بيت. نوع موسيقاهم هو الجاز ومدة التسجيل الخاصة بهم هي 5892.34 ثانية (حوالي ساعة واحدة و 47 دقيقة و 18 ثانية)
"The movie ""Liozooto"" stars Jeccig Viidon and has music composed by Raeon Parvas.",".فيلم ""ليوزوتو"" من بطولة جيسيج فيدون، ويضم موسيقى من تأليف رايون بارفاس"
"Lerois Lonol, originally from Torinla, began his musical career in 1962 playing the Sonarimbal in the genre Humblechip. He is associated with the band or musical artist Kelikons.",بدأ ليروا لونول، وهو أصلاً من تورينلا، مسيرته الموسيقية في عام 1962 بعزف السناريمبال في نوع موسيقى هابلتشيب. وهو مرتبط بالفرقة أو الفنان الموسيقي كيليكونز.
"The Starborn Gate, a Mallentor Art Museum, was established in the year 4101 and is located in Caelmount County. Caelmount County is bordered to its southeast by Yamarant County and to its west by Arnold County.",.بوابة ستاربون، وهي متحف فني لميلينتور، تأسست في عام 4101 وتقع في مقاطعة كيلماونت. وتحد مقاطعة كيلماونت من جنوبها الشرقي مقاطعة يامارانت ومن غربها مقاطعة أرنولد
