added_predicates,comparison_basis,dataset,file,idx,num_added_triples,num_matched_predicates,num_matched_source_triples,num_omitted_triples,num_predicted_predicates,num_source_triples,omitted_predicates,omitted_triples,position,pred,source_input,task,triple_set_id
city,webnlg17_input,factual,results/ordering/factual_ordering.json,4,1,4,4,1,5,5,type,Ciudad_Ayala type City,4,leaderTitle governmentType city populationDensity populationMetro,"[TRIPLE] Ciudad_Ayala  populationMetro  1777539 [/TRIPLE] [TRIPLE] Ciudad_Ayala  leaderTitle  ""City Manager"" [/TRIPLE] [TRIPLE] Ciudad_Ayala  type  City [/TRIPLE] [TRIPLE] Ciudad_Ayala  populationDensity  1604.0 [/TRIPLE] [TRIPLE] Ciudad_Ayala  governmentType  Council-manager_government [/TRIPLE]",ordering,4
,webnlg17_input,factual,results/ordering/factual_ordering.json,16,0,3,3,1,3,4,industry,Hypermarcas industry Pharmaceuticals,16,location location areaTotal,[TRIPLE] Hypermarcas  location  São_Paulo [/TRIPLE] [TRIPLE] Brazil  areaTotal  8514837.14  (square kilometres) [/TRIPLE] [TRIPLE] Hypermarcas  location  Brazil [/TRIPLE] [TRIPLE] Hypermarcas  industry  Pharmaceuticals [/TRIPLE],ordering,16
recordIn | location,webnlg17_input,factual,results/ordering/factual_ordering.json,20,2,2,2,5,4,7,artist | producer | runtime | recordedIn | recordedIn,"Bootleg_Series_Volume_1:_The_Quine_Tapes artist The_Velvet_Underground || Bootleg_Series_Volume_1:_The_Quine_Tapes producer The_Velvet_Underground || Bootleg_Series_Volume_1:_The_Quine_Tapes runtime 230.05 || Bootleg_Series_Volume_1:_The_Quine_Tapes recordedIn United_States || Bootleg_Series_Volume_1:_The_Quine_Tapes recordedIn St._Louis,_Missouri",20,genre recordLabel recordIn location,"[TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  artist  The_Velvet_Underground [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  producer  The_Velvet_Underground [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  runtime  230.05 [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  recordedIn  United_States [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  recordedIn  St._Louis,_Missouri [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  genre  Rock_music [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  recordLabel  Polydor_Records [/TRIPLE]",ordering,20
production_team,webnlg17_input,factual,results/ordering/factual_ordering.json,23,1,2,2,1,3,3,producer,Mermaid_(Train_song) producer Espionage_(production_team),23,followedBy album production_team,[TRIPLE] Mermaid_(Train_song)  followedBy  Imagine_(John_Lennon_song) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  album  California_37_(Train_album) [/TRIPLE],ordering,23
author,webnlg17_input,factual,results/ordering/factual_ordering.json,26,1,2,2,1,3,3,writer,English_Without_Tears writer Terence_Rattigan,26,author runtime cinematography,[TRIPLE] English_Without_Tears  cinematography  Bernard_Knowles [/TRIPLE] [TRIPLE] English_Without_Tears  writer  Terence_Rattigan [/TRIPLE] [TRIPLE] English_Without_Tears  runtime  89.0 [/TRIPLE],ordering,26
,webnlg17_input,factual,results/ordering/factual_ordering.json,27,0,2,2,1,2,3,professionalField,Lady_Anne_Monson professionalField Botany,27,spouse deathDate,[TRIPLE] Lady_Anne_Monson  spouse  George_Monson [/TRIPLE] [TRIPLE] Lady_Anne_Monson  deathDate  1776-02-18 [/TRIPLE] [TRIPLE] Lady_Anne_Monson  professionalField  Botany [/TRIPLE],ordering,27
,webnlg17_input,factual,results/ordering/factual_ordering.json,29,0,4,4,1,4,5,training,Liselotte_Grschebina training School_of_Applied_Arts_in_Stuttgart,29,nationality birthPlace country language,[TRIPLE] Liselotte_Grschebina  birthPlace  Karlsruhe [/TRIPLE] [TRIPLE] Liselotte_Grschebina  nationality  Israel [/TRIPLE] [TRIPLE] Liselotte_Grschebina  training  School_of_Applied_Arts_in_Stuttgart [/TRIPLE] [TRIPLE] Karlsruhe  country  Germany [/TRIPLE] [TRIPLE] Israel  language  Modern_Hebrew [/TRIPLE],ordering,29
author,webnlg17_input,factual,results/ordering/factual_ordering.json,31,1,4,4,2,5,6,writer | writer,Mermaid_(Train_song) writer Espen_Lind || Mermaid_(Train_song) writer Amund_Bjørklund,31,genre recordLabel recordLabel runtime author,[TRIPLE] Mermaid_(Train_song)  recordLabel  Columbia_Records [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  runtime  3.16 [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  recordLabel  Sony_Music_Entertainment [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Espen_Lind [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  genre  Reggae [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Amund_Bjørklund [/TRIPLE],ordering,31
author,webnlg17_input,factual,results/ordering/factual_ordering.json,32,1,2,2,1,3,3,writer,It's_Great_to_Be_Young_(1956_film) writer Ted_Willis,32,starring musicComposer author,[TRIPLE] It's_Great_to_Be_Young_(1956_film)  musicComposer  Louis_Levy [/TRIPLE] [TRIPLE] It's_Great_to_Be_Young_(1956_film)  starring  Cecil_Parker [/TRIPLE] [TRIPLE] It's_Great_to_Be_Young_(1956_film)  writer  Ted_Willis [/TRIPLE],ordering,32
,webnlg17_input,factual,results/ordering/factual_ordering.json,35,0,4,4,1,4,5,producer,Nord_(Year_of_No_Light_album) producer Year_of_No_Light,35,genre genre recordLabel releaseDate,[TRIPLE] Nord_(Year_of_No_Light_album)  genre  Sludge_metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  producer  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  genre  Post-metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  recordLabel  Crucial_Blast [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  releaseDate  2006-09-06 [/TRIPLE],ordering,35
