dataset,examples_with_omissions,examples_with_omissions_pct,file,num_examples,omitted_triples_pct,task,total_input_triples,total_matched_triples,total_omitted_triples,total_predicted_predicates
counterfactual,430,24.17,results/ordering/counterfactual_ordering.json,1779,11.33,ordering,5639,5000,639,5369
factual,458,25.74,results/ordering/factual_ordering.json,1779,12.36,ordering,5639,4942,697,5332
fictional,401,22.54,results/ordering/fictional_ordering.json,1779,10.66,ordering,5639,5038,601,5359
ordering_test,505,28.39,results/ordering/ordering_test.json,1779,12.48,ordering,5639,4935,704,5389
simon,110,7.81,results/ordering/simon_ordering.json,1408,2.29,ordering,4924,4811,113,4876
counterfactual,6,0.34,results/structuring/counterfactual_structuring.json,1779,0.12,structuring,5110,5104,6,5118
factual,6,0.34,results/structuring/factual_structuring.json,1779,0.12,structuring,5047,5041,6,5049
fictional,7,0.39,results/structuring/fictional_structuring.json,1779,0.14,structuring,5126,5119,7,5122
simon,64,4.55,results/structuring/simon_structuring.json,1408,1.31,structuring,4875,4811,64,4875
structuring_test,5,0.28,results/structuring/structuring_test.json,1779,0.1,structuring,4960,4955,5,4968
