Source,Translation
"Agremiação Sportiva Arapiraquense, also known as ""Alvinegro,"", is a Brazilian football club located in Arapiraca. The team plays in the Campeonato Brasileiro Série C league. Their home games are held at Estádio Municipal Coaracy da Mata Fonseca.","아그레미아상 스포르티바 아라피라쿠엔스(Agremiação Sportiva Arapiraquense)는 아라피라카에 위치한 브라질 축구 클럽으로, ""알비네그로""라는 별칭으로도 불립니다. 이 팀은 캄페오나투 브라질레이루 세리에 C 리그에서 활약 중이며, 홈 경기는 에스타디우 무니시팔 코아라시 다 마타 폰세카에서 치릅니다."
"Nie Haisheng was born on October 13, 1964, and is a fighter pilot.",니 하이셩은 1964년 10월 13일생으로 전투기 조종사입니다.
MotorSport Vision is located in Fawkham.,모터스포츠 비전은 포크햄에 위치해 있습니다.
Aleksandr Prudnikov stands at a height of 185.0 centimeters and is a football player for FC Spartak Moscow. The team grounds its matches at Otkrytiye Arena.,알렉산드르 프루드니코프는 키가 185.0cm이고 FC 스파르타크 모스크바에서 축구 선수로 뛰고 있습니다. 팀은 경기장을 오픈컵 아레나에서 경기를 합니다.
"The city of CiudadAyala has a population of 1,777,539 and a population density of 1604 people per square kilometer. It is classified as a city and operates under a council-manager government. The city manager is the elected leader of the city.","시우다드아야라는 인구 1,777,539명, 인구 밀도는 제곱킬로미터당 1604명입니다. 이 도시는 도시로 분류되며, 의회-매니저 정부 체제로 운영됩니다. 시 매니저는 시의 선출직 지도자입니다."
"The album ""Squeeze"" by The Velvet Underground was released before ""Bootleg Series Volume 1: The Quine Tapes."" After ""Squeeze"" came another album by The Velvet Underground, titled ""1969: The Velvet Underground Live.""","벨벳 언더그라운드의 ""스퀴즈"" 앨범은 ""부트렉 시리즈 볼륨 1: 퀸 테이프""보다 먼저 발매되었습니다. ""스퀴즈"" 이후 벨벳 언더그라운드의 또 다른 앨범인 ""1969: 벨벳 언더그라운드 라이브""가 발매되었습니다."
"The city of Ciudad Ayala, located in Mexico, has a population density of 1604 people per square kilometer. Its leader holds the title of Governator. The city is situated at an elevation of 1147 meters above sea level and observes Pacific Daylight Time as its time zone.","멕시코에 위치한 시우다드 아야라(Ciudad Ayala)는 인구밀도가 제곱킬로미터당 1604명입니다. 이 도시의 지도자는 '고베르나토르'(Governator)라는 직위를 가지고 있습니다. 이 도시는 해발 1147미터에 위치하고 있으며, 태평양 표준시를 사용하고 있습니다."
"Olga Bondareva passed away on December 9, 1991.",올가 보나르예바는 1991년 12월 9일에 사망했습니다.
"Saint Petersburg, founded in 1703, is the place where Olga Bondareva passed away. The total area of Saint Petersburg is 1,439.0 square units.","1703년에 설립된 상트페테르부르크는 올가 본다레바가 사망한 곳입니다. 상트페테르부르크의 총면적은 1,439.0 제곱유닛입니다."
The population density of Ciudad Ayala is 1604.0 people per square kilometer.,시우다드 아얄라의 인구 밀도는 제곱킬로미터당 1604.0명입니다.
"Piotr Hallmann was born on August 25, 1987.",1987년 8월 25일
The area code for Darlington is 01325.,다링턴의 지역 코드는 01325번입니다.
