Source,Translation
"Trafford F.C. is a soccer team located in ItamaratideMinas, Brazil, which plays in EFL League One based in the United States. Their home ground is Estadio Jorge Luis Hirschi. The team is also known by the nickname Steve Bright.",.نادي ترافورد لكرة القدم هو فريق كرة قدم يقع في إيتاماراتيديميناس، البرازيل، ويلعب في الدوري الإنجليزي لكرة القدم الذي يقع مقره في الولايات المتحدة. ملعبهم الأساسي هو استاد خورخي لويس هيرشي. يُعرف الفريق أيضًا باسم ستيف برايت
Martial was born in 1942 and is a military engineer.,ولد مارسيال في عام 1942 وهو مهندس عسكري.
Juventus FC is located in the city of Kiryushkino.,.يقع نادي يوفنتوس لكرة القدم في مدينة كيريوسشكينو
"Wang Xiaoyun, a football player, stands at a height of 17068.8 millimetres (1.71 metres) and plays for Coalville Town F.C. The team's home ground is Estadio Reino de León.",.يبلغ ارتفاع وانغ شياويون، لاعب كرة القدم، 17068.8 مليمتر (1.71 متر)، ويلعب مع نادي كوالفيل تاون لكرة القدم. ملعب الفريق هو استاد رينو دي ليون
"Ardãos is a city with a population of 27,400 and a population density of 1147 people per square kilometer. The city is governed under a monocratic system, and its leader holds the title of Führer.",".أردونس هي مدينة يبلغ عدد سكانها 000 27 نسمة، وتبلغ الكثافة السكانية 1147 نسمة لكل كيلومتر مربع. وتُحكم المدينة في ظل نظام حكم الفرد المطلق، ويحمل زعيمها لقب ""فوهرر"""
"Lovex precedes TearsonTape in the sequence, while StrongPersuader follows Lovex.",يأتي Lovex قبل TearsonTape في التسلسل، في حين يأتي StrongPersuader بعد Lovex.
"Paradela is a population-dense place in the Philippines, with a population density of 1095.0 people per square kilometer. The ruler of Paradela holds the title of Emperor Dezong of Tang. Its elevation above sea level is 98.0 meters, and it falls under the UTC+05:00 time zone.",.باراديلا هي منطقة ذات كثافة سكانية عالية في الفلبين، حيث تبلغ الكثافة السكانية 1095.0 شخصًا لكل كيلومتر مربع. يحمل حاكم باراديلا لقب الإمبراطور ديزونغ من تانغ. يبلغ ارتفاعها عن مستوى سطح البحر 98.0 مترًا، وتقع ضمن منطقة التوقيت UTC+05:00
"Sonali Bendre was born in a year prior to 1954. Specifically, she was born on July 29. Unfortunately, she passed away in that year.",.ولدت سونالي بيندري قبل عام 1954. وبالتحديد، ولدت في 29 يوليو. ولكن للأسف، توفيت في ذلك العام
"Leningrad, formerly known as . Petersburg and located in the USSR, was founded in 1726. Serghei Gheorghiev, who passed away, did so in Leningrad, which is now part of the USSR and covers an area of approximately 10,252 square kilometers.",.لينينغراد، المعروفة سابقًا باسم سانت بطرسبرغ والواقعة في الاتحاد السوفيتي، تأسست في عام 1726. توفي سيرجي جورجييف في لينينغراد، والتي هي الآن جزء من الاتحاد السوفيتي وتغطي مساحة تبلغ حوالي 10252 كيلومتر مربع
"The population density of Bergwerk is approximately 380,700,000 people per unit area.",".تبلغ الكثافة السكانية لبلدة بيرغفيرك حوالي 380,700,000 شخص لكل وحدة مساحة"
"Joseph Brodsky was born on January 1, 1955.",ولد جوزيف برودسكي في 1 يناير 1955
Rawmarsh Welfare Football Club is located in an area with a code of 89.0.,.يقع نادي راومرش ولفار لكرة القدم في منطقة ذات رمز بريدي 89.0
"Argham, a contributing property located in Armagh, Mesa County, established in the year 2000, is situated to the west of Franklin County, Pennsylvania, and to the north of Cumberland County, Pennsylvania.",.أرغام، وهو عقار مساهم يقع في أرما، مقاطعة ميسا، تأسس في عام 2000، ويقع غرب مقاطعة فرانكلين، بنسلفانيا، وشمال مقاطعة كومبرلاند، بنسلفانيا
Spain's official language is not Skolt Sami. The official language of Spain is Castilian Spanish.,اللغة الرسمية في إسبانيا ليست سكولت صامي. اللغة الرسمية في إسبانيا هي الإسبانية القشتالية.
"The Dallas/Fort Worth International Airport is operated by Skyguide and is located in Pino del Oro, with an elevation above sea level of 11.5 meters.",.يتم تشغيل مطار دالاس/فورت وورث الدولي من قبل سكاي جايد ويقع في بينو ديل أورو، على ارتفاع 11.5 متر فوق مستوى سطح البحر
"Funke Mediengruppe, a media group, was founded on June 14, 1994. One of its products is IBM Lotus QuickPlace.",تأسست مجموعة فنكي ميدينجروب الإعلامية في 14 يونيو 1994. ومن بين منتجاتها آي بي إم لوتس كويك بليس.
"Koenigsegg is located in Segredo, United States of America, which covers an area of approximately 8,514,837.14 square kilometers. The industry associated with Koenigsegg is Pharmaceuticals.","تقع شركة كوينيجسيج في سيجريدو، بالولايات المتحدة الأمريكية، والتي تغطي مساحة تبلغ حوالي 8,514,837.14 كيلومتر مربع. والصناعة المرتبطة بشركة كوينيجسيج هي صناعة الأدوية."
